Team,OPS,ISO,wRC+
MIL,0.972,0.183,181
LAA,0.86,0.23,145
TBR,0.802,0.066,130
WSN,0.82,0.23,133
SEA,0.793,0.254,129
ATL,0.789,0.184,126
STL,0.812,0.198,129
MIA,0.774,0.14,123
TOR,0.786,0.165,121
LAD,0.743,0.2,116
NYM,0.736,0.142,118
BOS,0.736,0.139,108
CHW,0.729,0.216,108
PIT,0.71,0.144,105
HOU,0.695,0.112,102
CHC,0.694,0.18,103
NYY,0.692,0.146,98
TEX,0.698,0.167,98
MIN,0.673,0.135,94
BAL,0.662,0.086,94
CIN,0.629,0.126,83
DET,0.582,0.061,77
CLE,0.6,0.143,73
PHI,0.57,0.093,70
SDP,0.547,0.071,66
ARI,0.564,0.126,59
KCR,0.518,0.084,49
COL,0.531,0.101,41
ATH,0.512,0.137,44
SFG,0.388,0.033,19
