Name,Team,WAR,IDfg,Type
Spencer Torkelson,DET,2.3,27465,Batting
Mike Yastrzemski,- - -,2.3,14854,Batting
Otto Lopez,MIA,2.3,19608,Batting
Addison Barger,TOR,2.2,24598,Batting
Alec Burleson,STL,2.1,27615,Batting
Jose Altuve,HOU,2.1,5417,Batting
J.T. Realmuto,PHI,2.1,11739,Batting
Marcus Semien,TEX,2.1,12533,Batting
Lawrence Butler,ATH,2.0,22542,Batting
Ryan McMahon,- - -,1.9,15112,Batting
Mike Trout,LAA,1.8,10155,Batting
Josh Smith,TEX,1.8,26396,Batting
Brandon Lowe,TBR,1.7,18882,Batting
Alec Bohm,PHI,1.7,21618,Batting
Josh Jung,TEX,1.7,26299,Batting
Yainer Diaz,HOU,1.6,23003,Batting
Oneil Cruz,PIT,1.6,21711,Batting
Vinnie Pasquantino,KCR,1.5,27676,Batting
Nolan Schanuel,LAA,1.4,33189,Batting
Lenyn Sosa,CHW,1.4,22896,Batting
Miguel Vargas,CHW,1.4,20178,Batting
Michael Harris II,ATL,1.4,25931,Batting
Matt McLain,CIN,1.4,29695,Batting
Ke'Bryan Hayes,- - -,1.4,18577,Batting
Joey Ortiz,MIL,1.4,25493,Batting
Gavin Sheets,SDP,1.3,19901,Batting
Ozzie Albies,ATL,1.3,16556,Batting
Chase Meidroth,CHW,1.3,31580,Batting
Jo Adell,LAA,1.2,20220,Batting
Kyle Manzardo,CLE,1.2,29794,Batting
Marcell Ozuna,ATL,1.2,10324,Batting
Jackson Holliday,BAL,1.2,31781,Batting
Heliot Ramos,SFG,1.1,22515,Batting
Bryan Reynolds,PIT,1.1,19326,Batting
Christian Walker,HOU,1.1,13419,Batting
Spencer Steer,CIN,1.0,26323,Batting
Anthony Volpe,NYY,1.0,27647,Batting
Jordan Beck,COL,0.9,31431,Batting
Luis Arraez,SDP,0.9,18568,Batting
Paul Goldschmidt,NYY,0.8,9218,Batting
Lars Nootbaar,STL,0.8,21454,Batting
Lourdes Gurriel Jr.,ARI,0.7,19238,Batting
Luis Garcia Jr.,WSN,0.7,20391,Batting
Adolis Garcia,TEX,0.7,19287,Batting
Teoscar Hernandez,LAD,0.6,13066,Batting
Salvador Perez,KCR,0.5,7304,Batting
Brenton Doyle,COL,0.5,25479,Batting
Gavin Lux,CIN,0.3,19955,Batting
Brooks Lee,MIN,0.3,31595,Batting
Trevor Larnach,MIN,0.2,21501,Batting
Josh Bell,WSN,0.1,13145,Batting
Agustin Ramirez,MIA,0.0,26546,Batting
Luis Rengifo,LAA,0.0,19858,Batting
Andrew McCutchen,PIT,-0.1,9847,Batting
Nathaniel Lowe,- - -,-0.3,19566,Batting
Jonathan India,KCR,-0.3,21523,Batting
Eric Wagaman,MIA,-0.4,23395,Batting
Nick Castellanos,PHI,-0.6,11737,Batting
Tarik Skubal,DET,6.6,22267,Pitching
Paul Skenes,PIT,6.5,33677,Pitching
Cristopher Sanchez,PHI,6.4,20778,Pitching
Garrett Crochet,BOS,5.8,27463,Pitching
Logan Webb,SFG,5.5,17995,Pitching
Jesus Luzardo,PHI,5.3,19959,Pitching
Yoshinobu Yamamoto,LAD,5.0,33825,Pitching
Max Fried,NYY,4.8,13743,Pitching
Hunter Brown,HOU,4.6,25880,Pitching
Kevin Gausman,TOR,4.1,14107,Pitching
Framber Valdez,HOU,4.0,17295,Pitching
Andrew Abbott,CIN,3.9,29911,Pitching
Nick Pivetta,SDP,3.7,15454,Pitching
Freddy Peralta,MIL,3.6,18679,Pitching
Bryan Woo,SEA,3.6,30279,Pitching
Sonny Gray,STL,3.6,12768,Pitching
Michael Wacha,KCR,3.6,14078,Pitching
Matthew Boyd,CHC,3.4,15440,Pitching
Jacob deGrom,TEX,3.4,10954,Pitching
Dylan Cease,SDP,3.4,18525,Pitching
Carlos Rodon,NYY,3.2,16137,Pitching
Joe Ryan,MIN,3.1,21390,Pitching
Merrill Kelly,- - -,3.1,11156,Pitching
David Peterson,NYM,3.1,20302,Pitching
Jose Soriano,LAA,3.0,22100,Pitching
Brady Singer,CIN,2.9,25377,Pitching
Luis Castillo,SEA,2.6,15689,Pitching
Dean Kremer,BAL,2.6,19350,Pitching
Luis Severino,ATH,2.5,15890,Pitching
Yusei Kikuchi,LAA,2.5,20633,Pitching
Mitch Keller,PIT,2.5,17594,Pitching
Kyle Freeland,COL,2.5,16256,Pitching
Chris Bassitt,TOR,2.4,12304,Pitching
Robbie Ray,SFG,2.2,11486,Pitching
Nick Martinez,CIN,2.1,12730,Pitching
Will Warren,NYY,2.1,30182,Pitching
Ryan Pepiot,TBR,2.0,26221,Pitching
Shane Baz,TBR,2.0,22264,Pitching
Clay Holmes,NYM,1.9,13649,Pitching
Tanner Bibee,CLE,1.9,30134,Pitching
Brayan Bello,BOS,1.9,23920,Pitching
Kyle Hendricks,LAA,1.8,12049,Pitching
Brandon Pfaadt,ARI,1.7,27782,Pitching
Jeffrey Springs,ATH,1.7,17677,Pitching
Sandy Alcantara,MIA,1.7,18684,Pitching
Zack Littell,- - -,1.5,15823,Pitching
Gavin Williams,CLE,1.4,30122,Pitching
Jose Berrios,TOR,1.3,14168,Pitching
Zac Gallen,ARI,1.1,19291,Pitching
Mitchell Parker,WSN,0.9,27636,Pitching
Andre Pallante,STL,0.7,26108,Pitching
Jake Irvin,WSN,-0.4,21504,Pitching
