Name,Team,WAR,IDfg,Type
Aaron Judge,NYY,10.1,15640,Batting
Cal Raleigh,SEA,9.1,21534,Batting
Bobby Witt Jr.,KCR,8.0,25764,Batting
Shohei Ohtani,LAD,7.5,19755,Batting
Geraldo Perdomo,ARI,7.1,22799,Batting
Trea Turner,PHI,6.7,16252,Batting
Corbin Carroll,ARI,6.5,25878,Batting
Jose Ramirez,CLE,6.3,13510,Batting
Francisco Lindor,NYM,6.3,12916,Batting
Fernando Tatis Jr.,SDP,6.1,19709,Batting
Juan Soto,NYM,5.8,20123,Batting
Jeremy Pena,HOU,5.7,21636,Batting
Julio Rodriguez,SEA,5.7,23697,Batting
Maikel Garcia,KCR,5.6,22715,Batting
Pete Crow-Armstrong,CHC,5.4,27769,Batting
George Springer,TOR,5.2,12856,Batting
Byron Buxton,MIN,5.0,14161,Batting
Kyle Schwarber,PHI,4.9,16478,Batting
Cody Bellinger,NYY,4.9,15998,Batting
Gunnar Henderson,BAL,4.8,26289,Batting
Nico Hoerner,CHC,4.8,21479,Batting
Matt Olson,ATL,4.7,14344,Batting
Alejandro Kirk,TOR,4.7,22581,Batting
Ketel Marte,ARI,4.6,13613,Batting
Junior Caminero,TBR,4.6,28163,Batting
Kyle Tucker,CHC,4.5,18345,Batting
Jazz Chisholm Jr.,NYY,4.4,20454,Batting
Brice Turang,MIL,4.4,22186,Batting
Elly De La Cruz,CIN,4.3,26668,Batting
Wyatt Langford,TEX,4.1,33333,Batting
Andy Pages,LAD,4.1,24816,Batting
Willy Adames,SFG,4.1,15986,Batting
Shea Langeliers,ATH,3.9,25816,Batting
Vladimir Guerrero Jr.,TOR,3.9,19611,Batting
Jarren Duran,BOS,3.9,24617,Batting
Freddie Freeman,LAD,3.8,5361,Batting
Bo Bichette,TOR,3.8,19612,Batting
Eugenio Suarez,- - -,3.8,12552,Batting
Manny Machado,SDP,3.8,11493,Batting
Ceddanne Rafaela,BOS,3.8,24262,Batting
Matt Chapman,SFG,3.7,16505,Batting
Pete Alonso,NYM,3.6,19251,Batting
Sal Frelick,MIL,3.6,29622,Batting
William Contreras,MIL,3.6,20503,Batting
Michael Busch,CHC,3.5,26319,Batting
Bryce Harper,PHI,3.5,11579,Batting
Masyn Winn,STL,3.5,27479,Batting
Hunter Goodman,COL,3.4,29715,Batting
Tyler Soderstrom,ATH,3.4,27467,Batting
Jacob Wilson,ATH,3.4,33266,Batting
Mookie Betts,LAD,3.4,13611,Batting
Rafael Devers,- - -,3.3,17350,Batting
Dansby Swanson,CHC,3.3,18314,Batting
James Wood,WSN,3.2,29518,Batting
Trent Grisham,NYY,3.2,18564,Batting
Zach McKinstry,DET,3.2,19392,Batting
Xander Bogaerts,SDP,3.2,12161,Batting
Ernie Clement,TOR,3.2,20352,Batting
Steven Kwan,CLE,3.2,24610,Batting
Josh Naylor,- - -,3.1,18839,Batting
Zach Neto,LAA,3.1,31347,Batting
CJ Abrams,WSN,3.1,25768,Batting
Bryson Stott,PHI,3.1,26294,Batting
Yandy Diaz,TBR,3.0,16578,Batting
Ben Rice,NYY,3.0,29576,Batting
Ryan O'Hearn,- - -,3.0,16442,Batting
Brandon Nimmo,NYM,3.0,12927,Batting
Trevor Story,BOS,3.0,12564,Batting
Riley Greene,DET,2.9,25976,Batting
Taylor Ward,LAA,2.9,17548,Batting
Brendan Donovan,STL,2.9,24679,Batting
Jackson Chourio,MIL,2.9,28806,Batting
Randy Arozarena,SEA,2.9,19290,Batting
Jake Cronenworth,SDP,2.9,18036,Batting
TJ Friedl,CIN,2.9,19522,Batting
Willson Contreras,STL,2.8,11609,Batting
Ian Happ,CHC,2.8,17919,Batting
J.P. Crawford,SEA,2.8,15491,Batting
Jorge Polanco,SEA,2.6,13152,Batting
Seiya Suzuki,CHC,2.6,30116,Batting
Gleyber Torres,DET,2.6,16997,Batting
Carlos Correa,- - -,2.6,14162,Batting
Caleb Durbin,MIL,2.6,29646,Batting
Xavier Edwards,MIA,2.5,22266,Batting
Brent Rooker,ATH,2.4,19627,Batting
Christian Yelich,MIL,2.4,11477,Batting
Jung Hoo Lee,SFG,2.4,33824,Batting
