Name,Team,ERA,FIP,K/9,BB/9,WAR
Tarik Skubal,DET,2.21,2.45,11.1,1.52,6.6
Paul Skenes,PIT,1.97,2.36,10.36,2.01,6.5
Cristopher Sanchez,PHI,2.5,2.55,9.45,1.96,6.4
Garrett Crochet,BOS,2.59,2.89,11.18,2.02,5.8
Logan Webb,SFG,3.22,2.6,9.74,2.0,5.5
Jesus Luzardo,PHI,3.92,2.9,10.58,2.79,5.3
Yoshinobu Yamamoto,LAD,2.49,2.94,10.42,3.06,5.0
Max Fried,NYY,2.86,3.07,8.71,2.35,4.8
Hunter Brown,HOU,2.43,3.14,10.0,2.77,4.6
Kevin Gausman,TOR,3.59,3.41,8.81,2.33,4.1
Framber Valdez,HOU,3.66,3.37,8.77,3.19,4.0
Andrew Abbott,CIN,2.87,3.66,8.06,2.33,3.9
Nick Pivetta,SDP,2.87,3.49,9.41,2.48,3.7
Freddy Peralta,MIL,2.7,3.64,10.39,3.36,3.6
Bryan Woo,SEA,2.94,3.47,9.55,1.74,3.6
Sonny Gray,STL,4.28,3.39,10.01,1.89,3.6
Michael Wacha,KCR,3.86,3.66,6.57,2.35,3.6
Matthew Boyd,CHC,3.21,3.65,7.71,2.1,3.4
Jacob deGrom,TEX,2.97,3.64,9.64,1.93,3.4
Dylan Cease,SDP,4.55,3.56,11.52,3.8,3.4
Carlos Rodon,NYY,3.09,3.78,9.35,3.36,3.2
Joe Ryan,MIN,3.42,3.74,10.21,2.05,3.1
Merrill Kelly,- - -,3.52,3.76,8.17,2.35,3.1
David Peterson,NYM,4.22,3.48,8.0,3.47,3.1
Jose Soriano,LAA,4.26,3.73,8.09,4.15,3.0
Brady Singer,CIN,4.03,3.98,8.65,3.18,2.9
Luis Castillo,SEA,3.54,3.88,8.07,2.29,2.6
Dean Kremer,BAL,4.19,3.97,7.44,2.36,2.6
Luis Severino,ATH,4.54,4.11,6.86,2.77,2.5
Yusei Kikuchi,LAA,3.99,4.23,8.78,3.73,2.5
Mitch Keller,PIT,4.19,4.02,7.66,2.6,2.5
Kyle Freeland,COL,4.98,4.18,6.86,2.1,2.5
Chris Bassitt,TOR,3.96,4.01,8.77,2.75,2.4
Robbie Ray,SFG,3.65,3.93,9.18,3.6,2.2
Nick Martinez,CIN,4.45,4.33,6.3,2.28,2.1
Will Warren,NYY,4.44,4.07,9.48,3.6,2.1
Ryan Pepiot,TBR,3.86,4.36,8.96,3.27,2.0
Shane Baz,TBR,4.87,4.37,9.52,3.46,2.0
Clay Holmes,NYM,3.53,4.11,7.01,3.59,1.9
Tanner Bibee,CLE,4.24,4.34,8.0,2.67,1.9
Brayan Bello,BOS,3.35,4.19,6.7,3.19,1.9
Kyle Hendricks,LAA,4.76,4.6,6.23,2.35,1.8
Brandon Pfaadt,ARI,5.25,4.22,7.49,1.88,1.7
Jeffrey Springs,ATH,4.11,4.65,7.26,2.84,1.7
Sandy Alcantara,MIA,5.36,4.28,7.32,2.94,1.7
Zack Littell,- - -,3.81,4.88,6.27,1.54,1.5
Gavin Williams,CLE,3.06,4.39,9.29,4.46,1.4
Jose Berrios,TOR,4.17,4.65,7.48,3.04,1.3
Zac Gallen,ARI,4.83,4.5,8.2,3.09,1.1
Mitchell Parker,WSN,5.68,4.99,5.63,3.17,0.9
Andre Pallante,STL,5.31,4.68,6.14,3.43,0.7
Jake Irvin,WSN,5.7,5.64,6.2,3.1,-0.4
