Name,Team,ERA,FIP,K/9,BB/9,WAR
Cristopher Sanchez,PHI,0.0,-0.19,15.0,0.0,0.4
Dylan Cease,TOR,1.69,-0.23,20.25,3.38,0.4
Bryan Woo,SEA,3.0,0.64,13.5,1.5,0.4
Seth Lugo,KCR,0.0,2.2,4.26,0.0,0.3
Tarik Skubal,DET,0.0,1.14,9.0,0.0,0.3
Garrett Crochet,BOS,0.0,1.48,12.0,3.0,0.3
Emerson Hancock,SEA,0.0,1.14,13.5,1.5,0.3
Cameron Schlittler,NYY,0.0,0.14,13.5,0.0,0.3
Michael Wacha,KCR,0.0,1.31,10.5,1.5,0.3
Tyler Glasnow,LAD,3.0,1.64,9.0,1.5,0.3
Joe Boyle,TBR,3.0,1.81,6.0,0.0,0.3
Carmen Mlodzinski,PIT,4.15,-0.55,16.62,0.0,0.3
Reid Detmers,LAA,5.79,-0.07,17.36,0.0,0.3
Max Fried,NYY,0.0,2.83,5.68,1.42,0.2
Sandy Alcantara,MIA,0.0,2.57,6.43,2.57,0.2
Jose Soriano,LAA,0.0,2.81,10.5,6.0,0.2
Randy Vasquez,SDP,0.0,1.98,12.0,4.5,0.2
Eric Lauer,TOR,3.38,2.77,15.19,1.69,0.2
Mitch Keller,PIT,0.0,2.14,4.5,0.0,0.2
David Peterson,NYM,0.0,3.14,5.06,3.38,0.2
Joe Ryan,MIN,0.0,1.64,11.81,3.38,0.2
Hunter Brown,HOU,0.0,1.86,17.36,7.71,0.2
Michael McGreevy,STL,0.0,2.48,7.5,3.0,0.2
Andrew Abbott,CIN,0.0,2.31,6.0,1.5,0.2
Kevin Gausman,TOR,1.5,1.64,16.5,0.0,0.2
Framber Valdez,DET,1.5,1.98,7.5,1.5,0.2
Connelly Early,BOS,1.69,2.02,10.13,3.38,0.2
Taj Bradley,MIN,2.08,1.07,18.69,6.23,0.2
Tyler Mahle,SFG,4.5,1.39,11.25,2.25,0.2
Logan Gilbert,SEA,5.06,2.96,11.81,0.0,0.2
Max Meyer,MIA,5.4,2.34,9.0,3.6,0.2
Sean Burke,CHW,6.75,1.39,11.25,2.25,0.2
Shane Baz,BAL,6.75,2.21,6.75,0.0,0.2
Logan Webb,SFG,10.8,1.54,12.6,1.8,0.2
Chris Sale,ATL,0.0,3.14,9.0,4.5,0.1
Trevor Rogers,BAL,0.0,3.86,6.43,5.14,0.1
Jacob Misiorowski,MIL,1.8,3.14,19.8,5.4,0.1
Yoshinobu Yamamoto,LAD,3.0,3.31,9.0,0.0,0.1
MacKenzie Gore,TEX,3.38,2.77,11.81,5.06,0.1
Eduardo Rodriguez,ARI,0.0,2.34,9.0,3.6,0.1
Yohan Ramirez,PIT,0.0,2.14,11.25,4.5,0.1
Michael King,SDP,0.0,3.74,10.8,7.2,0.1
Jacob Latz,TEX,0.0,2.39,6.75,2.25,0.1
J.T. Ginn,ATH,0.0,2.87,4.91,2.45,0.1
