Name,Team,ERA,FIP,K/9,BB/9,WAR
Will Warren,NYY,2.08,3.14,6.23,4.15,0.1
Didier Fuentes,ATL,2.25,1.89,9.0,2.25,0.1
Robbie Ray,SFG,3.38,4.08,6.75,0.0,0.1
Jeffrey Springs,ATH,3.38,4.08,3.38,5.06,0.1
Luis Severino,ATH,3.6,3.74,5.4,5.4,0.1
Kyle Freeland,COL,4.15,4.3,4.15,4.15,0.1
Cade Cavalli,WSN,4.91,2.87,12.27,7.36,0.1
Bailey Falter,KCR,6.0,0.48,12.0,0.0,0.1
Shota Imanaga,CHC,7.2,4.14,12.6,3.6,0.1
Dustin May,STL,13.5,2.39,6.75,2.25,0.1
Nick Pivetta,SDP,18.0,3.48,12.0,9.0,0.1
Dennis Santana,PIT,0.0,3.81,6.0,6.0,0.0
George Kirby,SEA,1.5,4.81,9.0,3.0,0.0
A.J. Blubaugh,HOU,2.08,3.84,10.38,0.0,0.0
Cade Horton,CHC,2.84,4.41,5.68,1.42,0.0
Jake Woodford,MIL,3.0,4.81,12.0,0.0,0.0
Steven Matz,TBR,7.2,5.54,3.6,1.8,0.0
Freddy Peralta,NYM,7.2,5.54,12.6,0.0,0.0
Grant Anderson,MIL,0.0,1.48,12.0,3.0,0.0
Reynaldo Lopez,ATL,1.5,5.31,4.5,3.0,0.0
Drew Rasmussen,TBR,1.8,4.94,3.6,0.0,0.0
Chad Patrick,MIL,2.08,4.99,8.31,2.08,0.0
Cooper Criswell,SEA,2.25,4.14,13.5,2.25,0.0
Nolan McLean,NYM,3.6,4.34,14.4,3.6,0.0
Rhett Lowder,CIN,3.6,4.94,9.0,3.6,0.0
Eury Perez,MIA,3.86,5.0,10.29,1.29,0.0
Kyle Bradish,BAL,3.86,6.14,7.71,5.79,0.0
Jose Quintana,COL,4.15,4.99,4.15,8.31,0.0
Jack Flaherty,DET,4.15,4.99,4.15,8.31,0.0
Yusei Kikuchi,LAA,4.15,5.45,6.23,2.08,0.0
Grant Holmes,ATL,5.4,5.34,7.2,3.6,0.0
Michael Lorenzen,COL,6.23,5.68,8.31,0.0,0.0
Sonny Gray,BOS,6.75,4.64,11.25,2.25,0.0
Bailey Ober,MIN,6.75,6.64,2.25,2.25,0.0
Brady Singer,CIN,6.75,6.14,11.25,4.5,0.0
Jesus Luzardo,PHI,9.0,5.64,10.5,1.5,0.0
Nathan Eovaldi,TEX,9.64,5.72,13.5,0.0,0.0
Emmet Sheehan,LAD,10.8,5.24,16.2,5.4,0.0
Jack Kochanowicz,LAA,11.25,5.39,6.75,11.25,0.0
Mick Abel,MIN,13.5,4.34,10.8,10.8,0.0
Matthew Boyd,CHC,14.73,3.69,17.18,2.45,0.0
Jake Irvin,WSN,3.6,6.14,12.6,1.8,-0.1
Matthew Liberatore,STL,1.8,6.14,3.6,3.6,-0.1
Tobias Myers,NYM,3.0,6.81,3.0,0.0,-0.1
Anthony Kay,CHW,3.86,6.36,9.64,7.71,-0.1
Aaron Nola,PHI,5.4,6.74,12.6,3.6,-0.1
Gavin Williams,CLE,5.4,6.54,12.6,10.8,-0.1
Ben Brown,CHC,5.4,6.14,8.1,2.7,-0.1
Miles Mikolas,WSN,7.2,5.94,7.2,5.4,-0.1
Mike Burrows,HOU,7.94,6.67,9.53,3.18,-0.1
Zac Gallen,ARI,9.0,6.89,4.5,4.5,-0.1
Slade Cecconi,CLE,12.46,7.3,10.38,6.23,-0.1
Tanner Bibee,CLE,5.4,9.34,12.6,3.6,-0.2
Ryne Nelson,ARI,7.71,8.93,7.71,5.79,-0.2
Luis Morales,ATH,10.38,11.22,10.38,4.15,-0.2
Cole Ragans,KCR,9.0,13.39,11.25,9.0,-0.3
Cristian Javier,HOU,11.57,12.14,1.93,7.71,-0.3
Brandon Sproat,MIL,21.0,18.14,9.0,12.0,-0.3
