game_id,date,home_team,away_team,home_score,away_score,status
152810,2024-02-27T20:05:00+00:00,Los Angeles Dodgers,Chicago White Sox,9.0,6.0,Finished
152811,2024-02-27T20:05:00+00:00,San Francisco Giants,Seattle Mariners,10.0,10.0,Finished
152812,2024-02-27T20:05:00+00:00,Kansas City Royals,Colorado Rockies,4.0,3.0,Finished
152813,2024-02-27T20:05:00+00:00,Chicago Cubs,Cincinnati Reds,6.0,6.0,Finished
152820,2024-02-27T20:05:00+00:00,Cleveland Guardians,Oakland Athletics,2.0,11.0,Finished
152814,2024-02-27T20:10:00+00:00,Los Angeles Angels,Milwaukee Brewers,6.0,4.0,Finished
152815,2024-02-27T20:10:00+00:00,San Diego Padres,Kansas City Royals,6.0,3.0,Finished
152822,2024-02-27T20:10:00+00:00,Arizona Diamondbacks,Texas Rangers,3.0,10.0,Finished
152823,2024-02-28T18:05:00+00:00,Minnesota Twins,Baltimore Orioles,3.0,12.0,Finished
152824,2024-02-28T18:05:00+00:00,Philadelphia Phillies,Atlanta Braves,7.0,7.0,Finished
152825,2024-02-28T18:05:00+00:00,Washington Nationals,Boston Red Sox,4.0,3.0,Finished
152831,2024-02-28T18:05:00+00:00,Pittsburgh Pirates,Detroit Tigers,3.0,5.0,Finished
152826,2024-02-28T18:07:00+00:00,Toronto Blue Jays,Tampa Bay Rays,3.0,2.0,Finished
152827,2024-02-28T18:10:00+00:00,New York Mets,St.Louis Cardinals,3.0,0.0,Finished
152835,2024-02-28T18:10:00+00:00,Miami Marlins,Houston Astros,1.0,6.0,Finished
152828,2024-02-28T20:05:00+00:00,Chicago White Sox,San Diego Padres,1.0,3.0,Finished
152829,2024-02-28T20:05:00+00:00,Oakland Athletics,San Francisco Giants,7.0,4.0,Finished
152830,2024-02-28T20:05:00+00:00,Texas Rangers,Los Angeles Dodgers,6.0,4.0,Finished
152833,2024-02-28T20:05:00+00:00,Cleveland Guardians,Arizona Diamondbacks,6.0,8.0,Finished
152832,2024-02-28T20:10:00+00:00,Seattle Mariners,Kansas City Royals,7.0,9.0,Finished
152834,2024-02-28T20:10:00+00:00,Milwaukee Brewers,Chicago Cubs,1.0,6.0,Finished
152836,2024-02-28T20:10:00+00:00,Colorado Rockies,Los Angeles Angels,3.0,1.0,Finished
152837,2024-02-29T18:05:00+00:00,St.Louis Cardinals,Washington Nationals,1.0,3.0,Finished
152845,2024-02-29T18:05:00+00:00,Tampa Bay Rays,Atlanta Braves,9.0,12.0,Finished
152847,2024-02-29T18:05:00+00:00,Atlanta Braves,Minnesota Twins,5.0,0.0,Finished
152849,2024-02-29T18:05:00+00:00,Boston Red Sox,Detroit Tigers,5.0,2.0,Finished
152850,2024-02-29T18:05:00+00:00,Baltimore Orioles,Pittsburgh Pirates,9.0,8.0,Finished
152838,2024-02-29T18:07:00+00:00,Toronto Blue Jays,Philadelphia Phillies,0.0,5.0,Finished
152839,2024-02-29T20:05:00+00:00,Chicago Cubs,Colorado Rockies,9.0,10.0,Finished
152840,2024-02-29T20:05:00+00:00,Chicago White Sox,Kansas City Royals,6.0,1.0,Finished
152841,2024-02-29T20:05:00+00:00,Oakland Athletics,San Diego Padres,3.0,5.0,Finished
152842,2024-02-29T20:05:00+00:00,Texas Rangers,Milwaukee Brewers,7.0,5.0,Finished
152843,2024-02-29T20:10:00+00:00,Los Angeles Angels,Cleveland Guardians,4.0,1.0,Finished
152846,2024-02-29T20:10:00+00:00,Seattle Mariners,Chicago White Sox,5.0,6.0,Finished
152851,2024-02-29T20:10:00+00:00,Arizona Diamondbacks,San Francisco Giants,2.0,1.0,Finished
152844,2024-02-29T23:05:00+00:00,Houston Astros,New York Mets,2.0,1.0,Finished
152852,2024-02-29T23:35:00+00:00,New York Yankees,Miami Marlins,0.0,0.0,Finished
152848,2024-03-01T01:05:00+00:00,Cincinnati Reds,Los Angeles Dodgers,5.0,4.0,Finished
152853,2024-03-01T18:05:00+00:00,Washington Nationals,Houston Astros,8.0,10.0,Finished
152854,2024-03-01T18:05:00+00:00,Philadelphia Phillies,Miami Marlins,6.0,6.0,Finished
152855,2024-03-01T18:05:00+00:00,St.Louis Cardinals,New York Mets,3.0,2.0,Finished
152856,2024-03-01T18:05:00+00:00,Minnesota Twins,Boston Red Sox,5.0,3.0,Finished
152861,2024-03-01T18:05:00+00:00,Atlanta Braves,Baltimore Orioles,1.0,3.0,Finished
152863,2024-03-01T18:05:00+00:00,Detroit Tigers,Philadelphia Phillies,4.0,2.0,Finished
152865,2024-03-01T18:05:00+00:00,Pittsburgh Pirates,Tampa Bay Rays,12.0,8.0,Finished
152857,2024-03-01T20:05:00+00:00,Chicago Cubs,Chicago White Sox,10.0,6.0,Finished
152858,2024-03-01T20:05:00+00:00,Kansas City Royals,Oakland Athletics,5.0,4.0,Finished
152859,2024-03-01T20:05:00+00:00,San Francisco Giants,Texas Rangers,11.0,5.0,Finished
152860,2024-03-01T20:10:00+00:00,San Diego Padres,Los Angeles Angels,3.0,5.0,Finished
152864,2024-03-01T20:10:00+00:00,Milwaukee Brewers,San Diego Padres,4.0,3.0,Finished
152866,2024-03-01T20:10:00+00:00,Colorado Rockies,Seattle Mariners,10.0,9.0,Finished
152867,2024-03-01T23:35:00+00:00,New York Yankees,Toronto Blue Jays,8.0,4.0,Finished
152862,2024-03-02T01:05:00+00:00,Cincinnati Reds,Arizona Diamondbacks,8.0,12.0,Finished
152868,2024-03-02T01:05:00+00:00,Los Angeles Dodgers,Cleveland Guardians,6.0,4.0,Finished
152869,2024-03-02T18:05:00+00:00,Philadelphia Phillies,Minnesota Twins,3.0,2.0,Finished
152875,2024-03-02T18:05:00+00:00,Houston Astros,St.Louis Cardinals,7.0,1.0,Finished
152876,2024-03-02T18:05:00+00:00,Tampa Bay Rays,Boston Red Sox,2.0,3.0,Finished
152880,2024-03-02T18:05:00+00:00,Detroit Tigers,Pittsburgh Pirates,3.0,7.0,Finished
152883,2024-03-02T18:05:00+00:00,Boston Red Sox,Washington Nationals,4.0,2.0,Finished
152884,2024-03-02T18:05:00+00:00,Baltimore Orioles,New York Yankees,7.0,3.0,Finished
152870,2024-03-02T18:07:00+00:00,Toronto Blue Jays,Atlanta Braves,2.0,6.0,Finished
152878,2024-03-02T18:10:00+00:00,Miami Marlins,New York Mets,4.0,1.0,Finished
152871,2024-03-02T20:05:00+00:00,Texas Rangers,Chicago White Sox,14.0,3.0,Finished
152872,2024-03-02T20:05:00+00:00,Los Angeles Dodgers,Chicago Cubs,8.0,5.0,Finished
152873,2024-03-02T20:05:00+00:00,San Francisco Giants,San Diego Padres,2.0,3.0,Finished
152882,2024-03-02T20:05:00+00:00,Cleveland Guardians,Kansas City Royals,12.0,13.0,Finished
152874,2024-03-02T20:10:00+00:00,Los Angeles Angels,Arizona Diamondbacks,4.0,1.0,Finished
152877,2024-03-02T20:10:00+00:00,Seattle Mariners,Oakland Athletics,8.0,12.0,Finished
152879,2024-03-02T20:10:00+00:00,Milwaukee Brewers,Los Angeles Dodgers,3.0,11.0,Finished
152881,2024-03-02T20:10:00+00:00,Colorado Rockies,Cincinnati Reds,10.0,4.0,Finished
152885,2024-03-03T18:05:00+00:00,Minnesota Twins,Tampa Bay Rays,4.0,4.0,Finished
152886,2024-03-03T18:05:00+00:00,New York Yankees,Detroit Tigers,2.0,7.0,Finished
152887,2024-03-03T18:05:00+00:00,St.Louis Cardinals,Miami Marlins,,,Postponed
152888,2024-03-03T18:05:00+00:00,Washington Nationals,Miami Marlins,,,Postponed
152897,2024-03-03T18:05:00+00:00,Pittsburgh Pirates,Baltimore Orioles,2.0,5.0,Finished
152898,2024-03-03T18:05:00+00:00,Boston Red Sox,Toronto Blue Jays,3.0,1.0,Finished
152899,2024-03-03T18:05:00+00:00,Atlanta Braves,Philadelphia Phillies,3.0,2.0,Finished
152889,2024-03-03T18:10:00+00:00,New York Mets,Houston Astros,2.0,5.0,Finished
152890,2024-03-03T20:05:00+00:00,Oakland Athletics,Texas Rangers,5.0,2.0,Finished
152891,2024-03-03T20:05:00+00:00,Kansas City Royals,Cincinnati Reds,7.0,3.0,Finished
152892,2024-03-03T20:05:00+00:00,Los Angeles Dodgers,Colorado Rockies,7.0,4.0,Finished
152893,2024-03-03T20:05:00+00:00,Chicago Cubs,Cleveland Guardians,5.0,3.0,Finished
152896,2024-03-03T20:05:00+00:00,Cleveland Guardians,San Francisco Giants,5.0,6.0,Finished
152894,2024-03-03T20:10:00+00:00,Los Angeles Angels,Chicago White Sox,3.0,1.0,Finished
152895,2024-03-03T20:10:00+00:00,San Diego Padres,Seattle Mariners,12.0,4.0,Finished
152900,2024-03-03T20:10:00+00:00,Arizona Diamondbacks,Milwaukee Brewers,4.0,10.0,Finished
152901,2024-03-04T18:05:00+00:00,Minnesota Twins,Atlanta Braves,4.0,3.0,Finished
152902,2024-03-04T18:05:00+00:00,Washington Nationals,St.Louis Cardinals,1.0,0.0,Finished
152907,2024-03-04T18:05:00+00:00,Tampa Bay Rays,Pittsburgh Pirates,3.0,7.0,Finished
152910,2024-03-04T18:05:00+00:00,Detroit Tigers,Boston Red Sox,2.0,1.0,Finished
152912,2024-03-04T18:05:00+00:00,Baltimore Orioles,Minnesota Twins,2.0,7.0,Finished
152903,2024-03-04T18:07:00+00:00,Toronto Blue Jays,Philadelphia Phillies,5.0,2.0,Finished
152904,2024-03-04T20:05:00+00:00,Chicago White Sox,Arizona Diamondbacks,5.0,2.0,Finished
152905,2024-03-04T20:05:00+00:00,Texas Rangers,Los Angeles Angels,2.0,3.0,Finished
152911,2024-03-04T20:05:00+00:00,Cincinnati Reds,Oakland Athletics,15.0,8.0,Finished
152906,2024-03-04T20:10:00+00:00,San Diego Padres,Chicago Cubs,2.0,1.0,Finished
152909,2024-03-04T20:10:00+00:00,Colorado Rockies,San Francisco Giants,12.0,10.0,Finished
152908,2024-03-04T23:40:00+00:00,Miami Marlins,New York Yankees,2.0,3.0,Finished
152913,2024-03-05T18:05:00+00:00,Philadelphia Phillies,Baltimore Orioles,2.0,3.0,Finished
152914,2024-03-05T18:05:00+00:00,St.Louis Cardinals,Minnesota Twins,5.0,4.0,Finished
